url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_6cbe446d5f92970bf65f313182c295cd
Topic,Summary
Scope,Total
Period,Daily : 2020-01-01 ~ 2025-11-15
Gender,"All(Female, Male)"
Age ,All
Date,Health
2022-04-15,0.23938
2022-04-16,0.1625
2022-04-17,0.16572
2022-04-18,0.2255
2022-04-19,0.19786
2022-04-20,0.1976
2022-04-21,0.19117
2022-04-22,0.16237
2022-04-23,0.13679
2022-04-24,0.13769
2022-04-25,0.18153
2022-04-26,0.15787
2022-04-27,0.15132
2022-04-28,0.15504
2022-04-29,0.13203
2022-04-30,0.10966
2022-05-01,0.11455
2022-05-02,0.16983
2022-05-03,0.15299
2022-05-04,0.14244
2022-05-05,0.10825
2022-05-06,0.13267
2022-05-07,0.09899
2022-05-08,0.1265
2022-05-09,0.16122
2022-05-10,0.17703
2022-05-11,0.15299
2022-05-12,0.15967
2022-05-13,0.13846
2022-05-14,0.10143
2022-05-15,0.12445
2022-05-16,0.17459
2022-05-17,0.16919
2022-05-18,0.17471
2022-05-19,0.15389
2022-05-20,0.13152
2022-05-21,0.10503
2022-05-22,0.11635
2022-05-23,0.15003
2022-05-24,0.15762
2022-05-25,0.15312
2022-05-26,0.14874
2022-05-27,0.13833
2022-05-28,0.0995
2022-05-29,0.11493
2022-05-30,0.15877
2022-05-31,0.13897
2022-06-01,0.11313
2022-06-02,0.15723
2022-06-03,0.13769
2022-06-04,0.09693
2022-06-05,0.10606
2022-06-06,0.12573
2022-06-07,0.15877
2022-06-08,0.16276
2022-06-09,0.14566
2022-06-10,0.14296
2022-06-11,0.11583
2022-06-12,0.13396
2022-06-13,0.16777
2022-06-14,0.17291
2022-06-15,0.16597
2022-06-16,0.1553
2022-06-17,0.14437
2022-06-18,0.11262
2022-06-19,0.11365
2022-06-20,0.17831
2022-06-21,0.14887
2022-06-22,0.14167
2022-06-23,0.13075
2022-06-24,0.13627
2022-06-25,0.0977
2022-06-26,0.1094
2022-06-27,0.14784
2022-06-28,0.15839
2022-06-29,0.15196
2022-06-30,0.1364
2022-07-01,0.12535
2022-07-02,0.11172
2022-07-03,0.1139
2022-07-04,0.16353
2022-07-05,0.16482
2022-07-06,0.15504
2022-07-07,0.16289
2022-07-08,0.16353
2022-07-09,0.12342
2022-07-10,0.13884
2022-07-11,0.20287
2022-07-12,0.2237
2022-07-13,0.23385
2022-07-14,0.21316
2022-07-15,0.21856
2022-07-16,0.1598
2022-07-17,0.20403
2022-07-18,0.28682
2022-07-19,0.27512
2022-07-20,0.25802
2022-07-21,0.24478
2022-07-22,0.23887
2022-07-23,0.18706
2022-07-24,0.18384
2022-07-25,0.25082
2022-07-26,0.28027
2022-07-27,0.26008
2022-07-28,0.23025
2022-07-29,0.21496
2022-07-30,0.17176
2022-07-31,0.19014
2022-08-01,0.22318
2022-08-02,0.24285
2022-08-03,0.22241
2022-08-04,0.23527
2022-08-05,0.22087
2022-08-06,0.18821
2022-08-07,0.18204
2022-08-08,0.25867
2022-08-09,0.24723
2022-08-10,0.23218
2022-08-11,0.2201
2022-08-12,0.2111
2022-08-13,0.18294
2022-08-14,0.16803
2022-08-15,0.20956
2022-08-16,0.25558
2022-08-17,0.24388
2022-08-18,0.26137
2022-08-19,0.24183
2022-08-20,0.18346
2022-08-21,0.17883
2022-08-22,0.28065
2022-08-23,0.2633
2022-08-24,0.2633
2022-08-25,0.25584
2022-08-26,0.25918
2022-08-27,0.21598
2022-08-28,0.26895
2022-08-29,0.36602
2022-08-30,0.44573
2022-08-31,0.3781
2022-09-01,0.34133
2022-09-02,0.30405
2022-09-03,0.23925
2022-09-04,0.24465
2022-09-05,0.31999
2022-09-06,0.41526
2022-09-07,0.68332
